"","LAT_ORIGEN","LONG_ORIGEN","ID_ORIGEN","LAT_DEST","LONG_DEST","ID_DEST","ETC"
"56",4.333261372,-74.35204797,"125290000839",4.331412,-74.365811,"225290001317","FUSAGASUGA"
"57",4.333261372,-74.35204797,"125290000839",4.333261372,-74.35204797,"125290000839","FUSAGASUGA"
"58",4.333261372,-74.35204797,"125290000839",4.336721787,-74.36362882,"125290000103","FUSAGASUGA"
"59",4.333261372,-74.35204797,"125290000839",4.312155247,-74.401774406,"225290001198","FUSAGASUGA"
"60",4.333261372,-74.35204797,"125290000839",4.329242742,-74.364914724,"125290001355","FUSAGASUGA"
"61",4.333261372,-74.35204797,"125290000839",4.326449,-74.363437,"225290001198","FUSAGASUGA"
"62",4.333261372,-74.35204797,"125290000839",4.387886,-74.358331,"225290001317","FUSAGASUGA"
"63",4.333261372,-74.35204797,"125290000839",4.326169702,-74.36602008,"125290001355","FUSAGASUGA"
"64",4.333261372,-74.35204797,"125290000839",4.393727,-74.363344,"225290001317","FUSAGASUGA"
"65",4.333261372,-74.35204797,"125290000839",4.387887,-74.333331,"225290000604","FUSAGASUGA"
"66",4.333261372,-74.35204797,"125290000839",4.331864,-74.394672,"225290001180","FUSAGASUGA"
"67",4.333261372,-74.35204797,"125290000839",4.346726419,-74.359615282,"125290001118","FUSAGASUGA"
"68",4.333261372,-74.35204797,"125290000839",4.338082518,-74.36323115,"125290000103","FUSAGASUGA"
"69",4.333261372,-74.35204797,"125290000839",4.376108,-74.345942,"225290001317","FUSAGASUGA"
"70",4.333261372,-74.35204797,"125290000839",4.344084,-74.363086,"225290000311","FUSAGASUGA"
"71",4.333261372,-74.35204797,"125290000839",4.335876703,-74.362034798,"225290001180","FUSAGASUGA"
"72",4.333261372,-74.35204797,"125290000839",4.343966,-74.363,"225290001180","FUSAGASUGA"
"73",4.333261372,-74.35204797,"125290000839",4.327306399,-74.39413155,"225290000914","FUSAGASUGA"
"74",4.333261372,-74.35204797,"125290000839",4.344159,-74.363258,"125290001118","FUSAGASUGA"
"75",4.333261372,-74.35204797,"125290000839",4.326365,-74.363637,"225290000604","FUSAGASUGA"
"76",4.333261372,-74.35204797,"125290000839",4.370358,-74.397609,"225290000604","FUSAGASUGA"
"77",4.333261372,-74.35204797,"125290000839",4.326535,-74.363537,"225290001198","FUSAGASUGA"
"78",4.333261372,-74.35204797,"125290000839",4.337582349,-74.36479165,"125290000103","FUSAGASUGA"
"79",4.333261372,-74.35204797,"125290000839",4.331864,-74.364811,"225290001198","FUSAGASUGA"
"80",4.333261372,-74.35204797,"125290000839",4.343913,-74.363279,"225290000604","FUSAGASUGA"
"81",4.333261372,-74.35204797,"125290000839",4.3352972,-74.362131717,"125290000839","FUSAGASUGA"
"82",4.333261372,-74.35204797,"125290000839",4.326375,-74.363737,"125290001355","FUSAGASUGA"
"83",4.333261372,-74.35204797,"125290000839",4.347299712,-74.358791467,"125290001118","FUSAGASUGA"
"84",4.333261372,-74.35204797,"125290000839",4.326342636,-74.36161738,"125290001355","FUSAGASUGA"
"85",4.333261372,-74.35204797,"125290000839",4.295064,-74.451492,"225290001643","FUSAGASUGA"
"86",4.333261372,-74.35204797,"125290000839",4.343795,-74.363129,"225290001198","FUSAGASUGA"
"87",4.333261372,-74.35204797,"125290000839",4.32684154,-74.39971817,"125290002246","FUSAGASUGA"
"88",4.333261372,-74.35204797,"125290000839",4.378358,-74.363137,"225290001317","FUSAGASUGA"
"89",4.333261372,-74.35204797,"125290000839",4.330856206,-74.40379661,"125290002246","FUSAGASUGA"
"90",4.333261372,-74.35204797,"125290000839",4.346510808,-74.36373615,"125290001835","FUSAGASUGA"
"91",4.333261372,-74.35204797,"125290000839",4.338789582,-74.361150088,"125290000839","FUSAGASUGA"
"92",4.333261372,-74.35204797,"125290000839",4.280602,-74.384179,"225290001198","FUSAGASUGA"
"93",4.333261372,-74.35204797,"125290000839",4.340796405,-74.35945041,"125290000049","FUSAGASUGA"
"94",4.333261372,-74.35204797,"125290000839",4.331753825,-74.39499665,"125290002246","FUSAGASUGA"
"95",4.333261372,-74.35204797,"125290000839",4.327240719,-74.399299759,"125290002246","FUSAGASUGA"
"96",4.333261372,-74.35204797,"125290000839",4.344406114,-74.365787866,"125290001835","FUSAGASUGA"
"97",4.333261372,-74.35204797,"125290000839",4.344234,-74.362915,"225290001198","FUSAGASUGA"
"98",4.333261372,-74.35204797,"125290000839",4.353400164,-74.358025529,"125290001118","FUSAGASUGA"
"99",4.333261372,-74.35204797,"125290000839",4.312155247,-74.401774406,"225290001180","FUSAGASUGA"
"100",4.333261372,-74.35204797,"125290000839",4.337413607,-74.36490153,"125290000103","FUSAGASUGA"
"101",4.333261372,-74.35204797,"125290000839",4.34402,-74.363279,"125290001118","FUSAGASUGA"
"102",4.333261372,-74.35204797,"125290000839",4.299803,-74.377719,"225290001198","FUSAGASUGA"
"103",4.333261372,-74.35204797,"125290000839",4.335391714,-74.3635868,"125290000049","FUSAGASUGA"
"104",4.333261372,-74.35204797,"125290000839",4.337765,-74.364395,"225290001198","FUSAGASUGA"
"105",4.333261372,-74.35204797,"125290000839",4.282833,-74.363637,"225290000604","FUSAGASUGA"
"106",4.333261372,-74.35204797,"125290000839",4.388255,-74.326758,"225290001317","FUSAGASUGA"
"107",4.333261372,-74.35204797,"125290000839",4.347030134,-74.36844924,"125290001835","FUSAGASUGA"
"108",4.333261372,-74.35204797,"125290000839",4.348788829,-74.35783693,"125290001118","FUSAGASUGA"
"109",4.333261372,-74.35204797,"125290000839",4.351154566,-74.366455078,"125290001835","FUSAGASUGA"
"110",4.333261372,-74.35204797,"125290000839",4.3459142,-74.3791805,"0","FUSAGASUGA"
"111",4.336721787,-74.36362882,"125290000103",4.331412,-74.365811,"225290001317","FUSAGASUGA"
"112",4.336721787,-74.36362882,"125290000103",4.333261372,-74.35204797,"125290000839","FUSAGASUGA"
"113",4.336721787,-74.36362882,"125290000103",4.336721787,-74.36362882,"125290000103","FUSAGASUGA"
"114",4.336721787,-74.36362882,"125290000103",4.312155247,-74.401774406,"225290001198","FUSAGASUGA"
"115",4.336721787,-74.36362882,"125290000103",4.329242742,-74.364914724,"125290001355","FUSAGASUGA"
"116",4.336721787,-74.36362882,"125290000103",4.326449,-74.363437,"225290001198","FUSAGASUGA"
"117",4.336721787,-74.36362882,"125290000103",4.387886,-74.358331,"225290001317","FUSAGASUGA"
"118",4.336721787,-74.36362882,"125290000103",4.326169702,-74.36602008,"125290001355","FUSAGASUGA"
"119",4.336721787,-74.36362882,"125290000103",4.393727,-74.363344,"225290001317","FUSAGASUGA"
"120",4.336721787,-74.36362882,"125290000103",4.387887,-74.333331,"225290000604","FUSAGASUGA"
"121",4.336721787,-74.36362882,"125290000103",4.331864,-74.394672,"225290001180","FUSAGASUGA"
"122",4.336721787,-74.36362882,"125290000103",4.346726419,-74.359615282,"125290001118","FUSAGASUGA"
"123",4.336721787,-74.36362882,"125290000103",4.338082518,-74.36323115,"125290000103","FUSAGASUGA"
"124",4.336721787,-74.36362882,"125290000103",4.376108,-74.345942,"225290001317","FUSAGASUGA"
"125",4.336721787,-74.36362882,"125290000103",4.344084,-74.363086,"225290000311","FUSAGASUGA"
"126",4.336721787,-74.36362882,"125290000103",4.335876703,-74.362034798,"225290001180","FUSAGASUGA"
"127",4.336721787,-74.36362882,"125290000103",4.343966,-74.363,"225290001180","FUSAGASUGA"
"128",4.336721787,-74.36362882,"125290000103",4.327306399,-74.39413155,"225290000914","FUSAGASUGA"
"129",4.336721787,-74.36362882,"125290000103",4.344159,-74.363258,"125290001118","FUSAGASUGA"
"130",4.336721787,-74.36362882,"125290000103",4.326365,-74.363637,"225290000604","FUSAGASUGA"
"131",4.336721787,-74.36362882,"125290000103",4.370358,-74.397609,"225290000604","FUSAGASUGA"
"132",4.336721787,-74.36362882,"125290000103",4.326535,-74.363537,"225290001198","FUSAGASUGA"
"133",4.336721787,-74.36362882,"125290000103",4.337582349,-74.36479165,"125290000103","FUSAGASUGA"
"134",4.336721787,-74.36362882,"125290000103",4.331864,-74.364811,"225290001198","FUSAGASUGA"
"135",4.336721787,-74.36362882,"125290000103",4.343913,-74.363279,"225290000604","FUSAGASUGA"
"136",4.336721787,-74.36362882,"125290000103",4.3352972,-74.362131717,"125290000839","FUSAGASUGA"
"137",4.336721787,-74.36362882,"125290000103",4.326375,-74.363737,"125290001355","FUSAGASUGA"
"138",4.336721787,-74.36362882,"125290000103",4.347299712,-74.358791467,"125290001118","FUSAGASUGA"
"139",4.336721787,-74.36362882,"125290000103",4.326342636,-74.36161738,"125290001355","FUSAGASUGA"
"140",4.336721787,-74.36362882,"125290000103",4.295064,-74.451492,"225290001643","FUSAGASUGA"
"141",4.336721787,-74.36362882,"125290000103",4.343795,-74.363129,"225290001198","FUSAGASUGA"
